,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
14,14,BEAL,0,1,1.48845,1.11634,3.29571,0,0,1.06468
15,15,BEAL,0,1,2.53435,1.90076,4.58333,-1,-1,5.22951
16,16,BEAL,0,1,3.65103,2.73827,5.88962,-1,-1,5.58339
17,17,BEAL,0,1,4.56196,3.42147,6.90535,-1,-1,4.55464
18,18,BEAL,0,1,5.42483,4.06862,7.828,-1,-1,4.31438
19,19,BEAL,0,1,6.45717,4.84288,8.88356,-1,-1,5.16171
20,20,BEAL,0,1,7.30576,5.47932,9.71349,-1,-1,4.24296
21,21,BEAL,0,1,8.4091,6.30683,10.744,-1,-1,5.51669
22,22,BEAL,0,1,9.57917,7.18438,11.7797,-1,-1,5.85037
23,23,BEAL,0,1,10.4018,7.80133,12.4743,-1,-1,4.11301
24,24,BEAL,0,1,11.4144,8.56078,13.2931,-1,-1,5.06297
25,25,BEAL,0,1,12.2007,9.15052,13.9024,-1,-1,3.93158
26,26,BEAL,0,1,13.095,9.82127,14.5685,-1,-1,4.47167
