,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,BEAL,0,1,0.200032,0.27949,0,0,0,0
2,2,BEAL,0,1,0.233426,0.309349,100,0.166968,0,0
3,3,BEAL,0,1,0.272394,0.344156,100,0.194841,0,0
4,4,BEAL,0,1,0.317868,0.384721,100,0.227368,0,0
5,5,BEAL,0,1,0.370933,0.431989,100,0.265325,0,0
6,6,BEAL,0,1,0.432857,0.487052,100,0.309619,0,0
7,7,BEAL,0,1,0.505118,0.551179,100,0.361307,0,0
8,8,BEAL,0,1,0.589443,0.625835,100,0.421624,0,0
9,9,BEAL,0,1,0.687845,0.712717,100,0.49201,0,0
10,10,BEAL,0,1,0.802674,0.813778,100,0.574146,0,0
11,11,BEAL,0,1,0.936673,0.931271,100,0.669995,0,0
12,12,BEAL,0,1,1.09304,1.06778,100,0.781844,0,0
13,13,BEAL,0,1,1.27551,1.22628,100,0.912366,0,0
