,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
12,12,BELE,0,1,1.58851,1.19139,3.42167,0,0,1.36358
13,13,BELE,0,1,1.7362,1.30215,3.6065,-1,-1,0.738446
14,14,BELE,0,1,2.17339,1.63005,4.14612,-1,-1,2.18596
15,15,BELE,0,1,2.17339,1.63005,4.14612,-1,-1,0
16,16,BELE,0,1,2.55899,1.91925,4.61291,-1,-1,1.928
17,17,BELE,0,1,2.92857,2.19643,5.05238,-1,-1,1.84787
18,18,BELE,0,1,3.11653,2.3374,5.27296,-1,-1,0.939806
19,19,BELE,0,1,3.22235,2.41676,5.39629,-1,-1,0.529113
20,20,BELE,0,1,3.46079,2.59559,5.67192,-1,-1,1.19219
21,21,BELE,0,1,3.77759,2.83319,6.03338,-1,-1,1.58401
22,22,BELE,0,1,4.30967,3.23225,6.6284,-1,-1,2.66037
23,23,BELE,0,1,4.30967,3.23225,6.6284,-1,-1,0
24,24,BELE,0,1,4.30967,3.23225,6.6284,-1,-1,0
25,25,BELE,0,1,4.30967,3.23225,6.6284,-1,-1,0
26,26,BELE,0,1,4.50717,3.38038,6.84549,-1,-1,0.987507
27,27,BELE,0,1,4.85735,3.64301,7.22545,-1,-1,1.75092
28,28,BELE,0,1,5.24346,3.93259,7.63717,-1,-1,1.93052
29,29,BELE,0,1,5.32699,3.99524,7.72526,-1,-1,0.417664
30,30,BELE,0,1,5.45683,4.09262,7.8615,-1,-1,0.649211
31,31,BELE,0,1,5.54544,4.15908,7.95399,-1,-1,0.443031
32,32,BELE,0,1,5.54544,4.15908,7.95399,-1,-1,0
33,33,BELE,0,1,5.54544,4.15908,7.95399,-1,-1,0
34,34,BELE,0,1,6.06378,4.54783,8.48738,-1,-1,2.59171
35,35,BELE,0,1,6.12953,4.59714,8.5541,-1,-1,0.328731
36,36,BELE,0,1,6.54006,4.90504,8.96609,-1,-1,2.05266
37,37,BELE,0,1,7.18045,5.38534,9.59301,-1,-1,3.20195
38,38,BELE,0,1,7.81717,5.86288,10.1978,-1,-1,3.1836
39,39,BELE,0,1,8.07341,6.05506,10.4361,-1,-1,1.28124
40,40,BELE,0,1,8.18063,6.13547,10.535,-1,-1,0.536073
41,41,BELE,0,1,8.25799,6.19349,10.606,-1,-1,0.386817
42,42,BELE,0,1,8.64725,6.48544,10.9594,-1,-1,1.94628
43,43,BELE,0,1,8.9988,6.7491,11.2731,-1,-1,1.75777
44,44,BELE,0,1,9.36831,7.02623,11.5972,-1,-1,1.84753
45,45,BELE,0,1,9.37517,7.03137,11.6032,-1,-1,0.0342871
46,46,BELE,0,1,9.75395,7.31546,11.9295,-1,-1,1.8939
47,47,BELE,0,1,9.94127,7.45596,12.0888,-1,-1,0.936643
48,48,BELE,0,1,10.2469,7.68516,12.3455,-1,-1,1.52806
49,49,BELE,0,1,10.6019,7.95144,12.6392,-1,-1,1.77519
50,50,BELE,0,1,10.9656,8.22419,12.935,-1,-1,1.81834
51,51,BELE,0,1,11.1495,8.36213,13.0827,-1,-1,0.91956
52,52,BELE,0,1,11.7958,8.84686,13.5915,-1,-1,3.23153
53,53,BELE,0,1,12.0648,9.04857,13.7987,-1,-1,1.34474
54,54,BELE,0,1,12.3701,9.27756,14.0307,-1,-1,1.52661
55,55,BELE,0,1,12.5492,9.41188,14.1653,-1,-1,0.89547
56,56,BELE,0,1,12.7972,9.59792,14.3498,-1,-1,1.24025
57,57,BELE,0,1,12.7972,9.59792,14.3498,-1,-1,0
58,58,BELE,0,1,13.2782,9.95866,14.7014,-1,-1,2.4049
