,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,BELE,0,1,0.200064,0.279518,0,0,0,0
2,2,BELE,0,1,0.24153,0.316591,100,0.20733,0,0
3,3,BELE,0,1,0.29159,0.361287,100,0.250302,0,0
4,4,BELE,0,1,0.352026,0.415156,100,0.30218,0,0
5,5,BELE,0,1,0.424988,0.480061,100,0.364811,0,0
6,6,BELE,0,1,0.513073,0.55823,100,0.440422,0,0
7,7,BELE,0,1,0.619414,0.652325,100,0.531706,0,0
8,8,BELE,0,1,0.747796,0.765523,100,0.641909,0,0
9,9,BELE,0,1,0.902786,0.901604,100,0.774953,0,0
10,10,BELE,0,1,1.0899,1.06505,100,0.935573,0,0
11,11,BELE,0,1,1.3158,1.26115,100,1.12948,0,0
