,Time,Species,X,Y,DBH,Height,CR,CD,Growth,NA,NP
54,54,BEPA,0,1,10.3727,15.0954,-1,-1,3.40839,0,0
55,55,BEPA,0,1,10.6518,15.3552,-1,-1,1.39553,0,0
56,56,BEPA,0,1,10.9319,15.6113,-1,-1,1.4005,0,0
57,57,BEPA,0,1,11.2129,15.8637,-1,-1,1.40464,0,0
58,58,BEPA,0,1,11.4945,16.1123,-1,-1,1.40799,0,0
59,59,BEPA,0,1,11.7766,16.357,-1,-1,1.41059,0,0
60,60,BEPA,0,1,12.0591,16.5976,-1,-1,1.41249,0,0
61,61,BEPA,0,1,12.3418,16.8342,-1,-1,1.41372,0,0
62,62,BEPA,0,1,12.6247,17.0668,-1,-1,1.41434,0,0
63,63,BEPA,0,1,12.9076,17.2952,-1,-1,1.41438,0,0
64,64,BEPA,0,1,13.1903,17.5196,-1,-1,1.41387,0,0
65,65,BEPA,0,1,13.4729,17.7398,-1,-1,1.41285,0,0
66,66,BEPA,0,1,13.7552,17.9559,-1,-1,1.41136,0,0
67,67,BEPA,0,1,14.0371,18.1679,-1,-1,1.40943,0,0
68,68,BEPA,0,1,14.3185,18.3758,-1,-1,1.40709,0,0
69,69,BEPA,0,1,14.5994,18.5797,-1,-1,1.40438,0,0
70,70,BEPA,0,1,14.8796,18.7796,-1,-1,1.40131,0,0
71,71,BEPA,0,1,15.1592,18.9755,-1,-1,1.39792,0,0
72,72,BEPA,0,1,15.438,19.1674,-1,-1,1.39423,0,0
73,73,BEPA,0,1,15.7161,19.3555,-1,-1,1.39027,0,0
74,74,BEPA,0,1,15.9933,19.5398,-1,-1,1.38605,0,0
75,75,BEPA,0,1,16.2696,19.7203,-1,-1,1.3816,0,0
76,76,BEPA,0,1,16.545,19.8972,-1,-1,1.37695,0,0
77,77,BEPA,0,1,16.8194,20.0703,-1,-1,1.37209,0,0
78,78,BEPA,0,1,17.0928,20.2399,-1,-1,1.36707,0,0
79,79,BEPA,0,1,17.3652,20.4059,-1,-1,1.36188,0,0
80,80,BEPA,0,1,17.6365,20.5685,-1,-1,1.35655,0,0
81,81,BEPA,0,1,17.9068,20.7277,-1,-1,1.35109,0,0
82,82,BEPA,0,1,18.1759,20.8836,-1,-1,1.34551,0,0
83,83,BEPA,0,1,18.4438,21.0362,-1,-1,1.33983,0,0
84,84,BEPA,0,1,18.7106,21.1856,-1,-1,1.33406,0,0
85,85,BEPA,0,1,18.9763,21.3319,-1,-1,1.3282,0,0
86,86,BEPA,0,1,19.2407,21.4751,-1,-1,1.32227,0,0
87,87,BEPA,0,1,19.504,21.6154,-1,-1,1.31628,0,0
88,88,BEPA,0,1,19.766,21.7526,-1,-1,1.31023,0,0
89,89,BEPA,0,1,20.0269,21.8871,-1,-1,1.30414,0,0
90,90,BEPA,0,1,20.2865,22.0187,-1,-1,1.29801,0,0
91,91,BEPA,0,1,20.5448,22.1475,-1,-1,1.29185,0,0
92,92,BEPA,0,1,20.802,22.2737,-1,-1,1.28566,0,0
93,93,BEPA,0,1,21.0579,22.3973,-1,-1,1.27946,0,0
94,94,BEPA,0,1,21.3125,22.5183,-1,-1,1.27324,0,0
95,95,BEPA,0,1,21.5659,22.6368,-1,-1,1.26701,0,0
96,96,BEPA,0,1,21.8181,22.7528,-1,-1,1.26078,0,0
97,97,BEPA,0,1,22.069,22.8665,-1,-1,1.25455,0,0
98,98,BEPA,0,1,22.3186,22.9778,-1,-1,1.24832,0,0
99,99,BEPA,0,1,22.5671,23.0868,-1,-1,1.24211,0,0
100,100,BEPA,0,1,22.8142,23.1936,-1,-1,1.2359,0,0
101,101,BEPA,0,1,23.0602,23.2983,-1,-1,1.22971,0,0
102,102,BEPA,0,1,23.3049,23.4008,-1,-1,1.22354,0,0
103,103,BEPA,0,1,23.5484,23.5013,-1,-1,1.21738,0,0
104,104,BEPA,0,1,23.7906,23.5997,-1,-1,1.21125,0,0
105,105,BEPA,0,1,24.0316,23.6962,-1,-1,1.20515,0,0
