,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP,NA
1,1,BEPA,0,1,0.199951,0.279417,0,0,0,0,0
2,2,BEPA,0,1,0.241394,0.316469,100,0.207213,0,0,0
3,3,BEPA,0,1,0.291426,0.36114,100,0.25016,0,0,0
4,4,BEPA,0,1,0.351827,0.41498,100,0.302009,0,0,0
5,5,BEPA,0,1,0.424748,0.479848,100,0.364605,0,0,0
6,6,BEPA,0,1,0.512783,0.557973,100,0.440174,0,0,0
7,7,BEPA,0,1,0.619064,0.652016,100,0.531406,0,0,0
8,8,BEPA,0,1,0.747374,0.765152,100,0.641547,0,0,0
9,9,BEPA,0,1,0.902277,0.901157,100,0.774516,0,0,0
10,10,BEPA,0,1,1.08929,1.06451,100,0.935045,0,0,0
11,11,BEPA,0,1,1.31505,1.26051,100,1.12885,0,0,0
