,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
16,16,FAGR,0,1,1.60654,1.2049,2.54413,0,0,1.04155
17,17,FAGR,0,1,2.35485,1.76614,3.08322,-1,-1,3.74154
18,18,FAGR,0,1,2.72678,2.04508,3.34721,-1,-1,1.85965
19,19,FAGR,0,1,2.72678,2.04508,3.34721,-1,-1,0
20,20,FAGR,0,1,2.91886,2.18915,3.48253,-1,-1,0.96042
21,21,FAGR,0,1,3.03287,2.27465,3.56253,-1,-1,0.570025
22,22,FAGR,0,1,3.42076,2.56557,3.83289,-1,-1,1.93949
23,23,FAGR,0,1,3.97051,2.97788,4.21134,-1,-1,2.74872
24,24,FAGR,0,1,4.22696,3.17022,4.386,-1,-1,1.28224
25,25,FAGR,0,1,4.23811,3.17858,4.39357,-1,-1,0.0557839
26,26,FAGR,0,1,4.34646,3.25985,4.46699,-1,-1,0.541751
27,27,FAGR,0,1,4.63978,3.47984,4.66469,-1,-1,1.4666
28,28,FAGR,0,1,4.63978,3.47984,4.66469,-1,-1,0
29,29,FAGR,0,1,4.9415,3.70613,4.86645,-1,-1,1.5086
30,30,FAGR,0,1,5.31798,3.98848,5.11595,-1,-1,1.88235
31,31,FAGR,0,1,5.794,4.3455,5.42788,-1,-1,2.38015
32,32,FAGR,0,1,6.04438,4.53328,5.59038,-1,-1,1.25186
33,33,FAGR,0,1,6.04438,4.53328,5.59038,-1,-1,0
34,34,FAGR,0,1,6.05073,4.53805,5.59448,-1,-1,0.0317597
35,35,FAGR,0,1,6.32714,4.74536,5.7726,-1,-1,1.38207
36,36,FAGR,0,1,6.41464,4.81098,5.82871,-1,-1,0.437464
37,37,FAGR,0,1,6.54004,4.90503,5.9089,-1,-1,0.627023
38,38,FAGR,0,1,6.82081,5.11561,6.08749,-1,-1,1.40386
39,39,FAGR,0,1,7.06559,5.29919,6.24209,-1,-1,1.22386
40,40,FAGR,0,1,7.06559,5.29919,6.24209,-1,-1,0
41,41,FAGR,0,1,7.06559,5.29919,6.24209,-1,-1,0
42,42,FAGR,0,1,7.15876,5.36907,6.30068,-1,-1,0.465848
43,43,FAGR,0,1,7.41685,5.56264,6.46222,-1,-1,1.29046
44,44,FAGR,0,1,7.65841,5.74381,6.61241,-1,-1,1.20783
45,45,FAGR,0,1,7.65841,5.74381,6.61241,-1,-1,0
46,46,FAGR,0,1,7.73209,5.79906,6.65803,-1,-1,0.368357
47,47,FAGR,0,1,7.84429,5.88322,6.72733,-1,-1,0.561033
48,48,FAGR,0,1,7.94525,5.95894,6.78951,-1,-1,0.504795
49,49,FAGR,0,1,7.94525,5.95894,6.78951,-1,-1,0
50,50,FAGR,0,1,8.18062,6.13547,6.93383,-1,-1,1.17687
51,51,FAGR,0,1,8.31992,6.23994,7.01882,-1,-1,0.696453
52,52,FAGR,0,1,8.40255,6.30191,7.06909,-1,-1,0.413169
53,53,FAGR,0,1,8.42413,6.3181,7.0822,-1,-1,0.107914
54,54,FAGR,0,1,8.43137,6.32353,7.0866,-1,-1,0.0362054
55,55,FAGR,0,1,8.84255,6.63191,7.33491,-1,-1,2.05586
56,56,FAGR,0,1,9.01658,6.76244,7.4392,-1,-1,0.870182
57,57,FAGR,0,1,9.53723,7.15292,7.74833,-1,-1,2.60325
58,58,FAGR,0,1,9.72336,7.29252,7.85782,-1,-1,0.930633
59,59,FAGR,0,1,10.2859,7.71441,8.18544,-1,-1,2.81263
60,60,FAGR,0,1,10.4192,7.81442,8.26239,-1,-1,0.666686
61,61,FAGR,0,1,10.5383,7.90371,8.33086,-1,-1,0.595291
62,62,FAGR,0,1,10.5696,7.92722,8.34885,-1,-1,0.156719
63,63,FAGR,0,1,10.8583,8.1437,8.51383,-1,-1,1.44321
64,64,FAGR,0,1,10.8583,8.1437,8.51383,-1,-1,0
65,65,FAGR,0,1,11.1509,8.36316,8.6798,-1,-1,1.46308
66,66,FAGR,0,1,11.4727,8.60454,8.86086,-1,-1,1.60919
67,67,FAGR,0,1,11.6631,8.74732,8.96724,-1,-1,0.951894
68,68,FAGR,0,1,12.1847,9.13851,9.25595,-1,-1,2.60789
69,69,FAGR,0,1,12.4304,9.32278,9.39058,-1,-1,1.22849
70,70,FAGR,0,1,12.6068,9.45509,9.4867,-1,-1,0.882078
71,71,FAGR,0,1,13.179,9.88423,9.79539,-1,-1,2.86089
72,72,FAGR,0,1,13.432,10.074,9.93044,-1,-1,1.26539
73,73,FAGR,0,1,13.8377,10.3783,10.145,-1,-1,2.02842
74,74,FAGR,0,1,14.0433,10.5325,10.2529,-1,-1,1.02789
75,75,FAGR,0,1,14.5681,10.9261,10.5256,-1,-1,2.62392
76,76,FAGR,0,1,14.9841,11.238,10.7391,-1,-1,2.07981
77,77,FAGR,0,1,15.1132,11.3349,10.8049,-1,-1,0.645813
78,78,FAGR,0,1,15.1132,11.3349,10.8049,-1,-1,0
79,79,FAGR,0,1,15.3881,11.541,10.9442,-1,-1,1.37424
80,80,FAGR,0,1,15.8104,11.8578,11.1563,-1,-1,2.11169
81,81,FAGR,0,1,16.0807,12.0606,11.2908,-1,-1,1.35168
82,82,FAGR,0,1,16.4496,12.3372,11.4728,-1,-1,1.84449
83,83,FAGR,0,1,16.496,12.372,11.4956,-1,-1,0.231952
84,84,FAGR,0,1,16.5101,12.3825,11.5025,-1,-1,0.0701846
85,85,FAGR,0,1,17.0088,12.7566,11.7454,-1,-1,2.49391
86,86,FAGR,0,1,17.5148,13.1361,11.9885,-1,-1,2.52989
87,87,FAGR,0,1,17.5666,13.175,12.0132,-1,-1,0.259094
88,88,FAGR,0,1,17.8255,13.3691,12.1362,-1,-1,1.29415
89,89,FAGR,0,1,18.0028,13.5021,12.2199,-1,-1,0.886666
90,90,FAGR,0,1,18.1246,13.5935,12.2772,-1,-1,0.609176
91,91,FAGR,0,1,18.1996,13.6497,12.3124,-1,-1,0.374964
92,92,FAGR,0,1,18.7824,14.0868,12.5835,-1,-1,2.91399
93,93,FAGR,0,1,18.9064,14.1798,12.6406,-1,-1,0.620044
94,94,FAGR,0,1,19.2702,14.4526,12.8071,-1,-1,1.81856
