,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,FAGR,0,1,0.200079,0.279531,0,0,0,0
2,2,FAGR,0,1,0.229886,0.306186,100,0.149039,0,0
3,3,FAGR,0,1,0.264135,0.336782,100,0.171243,0,0
4,4,FAGR,0,1,0.303486,0.371898,100,0.196755,0,0
5,5,FAGR,0,1,0.3487,0.412194,100,0.226068,0,0
6,6,FAGR,0,1,0.400649,0.458426,100,0.259747,0,0
7,7,FAGR,0,1,0.460338,0.511457,100,0.298445,0,0
8,8,FAGR,0,1,0.52892,0.572271,100,0.342907,0,0
9,9,FAGR,0,1,0.607718,0.641991,100,0.393994,0,0
10,10,FAGR,0,1,0.698257,0.721895,100,0.452691,0,0
11,11,FAGR,0,1,0.802283,0.813435,100,0.520133,0,0
12,12,FAGR,0,1,0.921808,0.918261,100,0.597623,0,0
13,13,FAGR,0,1,1.05914,1.03824,100,0.686657,0,0
14,14,FAGR,0,1,1.21693,1.17549,100,0.788956,0,0
15,15,FAGR,0,1,1.39823,1.33238,100,0.906495,0,0
