,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,FRAM,0,1,0.199905,0.279376,0,0,0,0
2,2,FRAM,0,1,0.241338,0.31642,100,0.207165,0,0
3,3,FRAM,0,1,0.291358,0.36108,100,0.250102,0,0
4,4,FRAM,0,1,0.351746,0.414907,100,0.301939,0,0
5,5,FRAM,0,1,0.42465,0.479761,100,0.36452,0,0
6,6,FRAM,0,1,0.512664,0.557868,100,0.440072,0,0
7,7,FRAM,0,1,0.618921,0.651889,100,0.531283,0,0
8,8,FRAM,0,1,0.747201,0.764999,100,0.641398,0,0
9,9,FRAM,0,1,0.902068,0.900974,100,0.774337,0,0
10,10,FRAM,0,1,1.08903,1.06429,100,0.934828,0,0
11,11,FRAM,0,1,1.31475,1.26024,100,1.12858,0,0
