,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
11,11,PIAB,0,1,1.4504,1.0878,2.09841,0,0,1.30364
12,12,PIAB,0,1,1.87404,1.40553,2.3133,-1,-1,2.11824
13,13,PIAB,0,1,1.91923,1.43943,2.33613,-1,-1,0.225957
14,14,PIAB,0,1,2.41324,1.80993,2.58441,-1,-1,2.47001
15,15,PIAB,0,1,2.54465,1.90849,2.65008,-1,-1,0.657073
16,16,PIAB,0,1,2.97134,2.2285,2.86223,-1,-1,2.13342
17,17,PIAB,0,1,3.36457,2.52342,3.05628,-1,-1,1.96615
18,18,PIAB,0,1,3.36457,2.52342,3.05628,-1,-1,0
19,19,PIAB,0,1,3.75256,2.81442,3.24639,-1,-1,1.93995
20,20,PIAB,0,1,4.0719,3.05392,3.40186,-1,-1,1.59671
21,21,PIAB,0,1,4.56076,3.42057,3.63811,-1,-1,2.44431
22,22,PIAB,0,1,4.73001,3.5475,3.7194,-1,-1,0.846232
23,23,PIAB,0,1,5.09609,3.82206,3.8944,-1,-1,1.8304
24,24,PIAB,0,1,5.38967,4.04225,4.0339,-1,-1,1.46793
25,25,PIAB,0,1,5.95296,4.46472,4.29946,-1,-1,2.81645
26,26,PIAB,0,1,6.56006,4.92005,4.58264,-1,-1,3.03551
27,27,PIAB,0,1,6.89982,5.17486,4.73976,-1,-1,1.69877
28,28,PIAB,0,1,7.15394,5.36546,4.85664,-1,-1,1.27062
29,29,PIAB,0,1,7.55748,5.66811,5.04113,-1,-1,2.01771
30,30,PIAB,0,1,8.11948,6.08961,5.29581,-1,-1,2.80996
31,31,PIAB,0,1,8.55846,6.41884,5.49293,-1,-1,2.19491
32,32,PIAB,0,1,9.34118,7.00589,5.84052,-1,-1,3.91363
33,33,PIAB,0,1,10.1281,7.59608,6.18501,-1,-1,3.93464
34,34,PIAB,0,1,10.6926,8.01945,6.42908,-1,-1,2.82243
35,35,PIAB,0,1,10.9742,8.23065,6.54991,-1,-1,1.408
36,36,PIAB,0,1,11.5096,8.63223,6.77794,-1,-1,2.6772
37,37,PIAB,0,1,12.1223,9.09171,7.03614,-1,-1,3.06325
38,38,PIAB,0,1,12.7435,9.55759,7.295,-1,-1,3.10586
39,39,PIAB,0,1,12.8896,9.66718,7.35546,-1,-1,0.730589
