,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,PIAB,0,1,0.199932,0.2794,0,0,0,0
2,2,PIAB,0,1,0.243749,0.318574,100,0.219085,0,0
3,3,PIAB,0,1,0.297169,0.366263,100,0.267099,0,0
4,4,PIAB,0,1,0.362296,0.424301,100,0.325636,0,0
5,5,PIAB,0,1,0.441696,0.494904,100,0.397003,0,0
6,6,PIAB,0,1,0.538498,0.580755,100,0.484009,0,0
7,7,PIAB,0,1,0.656515,0.685083,100,0.590085,0,0
8,8,PIAB,0,1,0.800397,0.811777,100,0.719407,0,0
9,9,PIAB,0,1,0.975811,0.9655,100,0.877072,0,0
10,10,PIAB,0,1,1.18967,1.15182,100,1.06929,0,0
