,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
12,12,PIRE,0,1,1.55731,1.16798,2.44399,0,0,1.32556
13,13,PIRE,0,1,2.32662,1.74497,2.96891,-1,-1,3.84657
14,14,PIRE,0,1,3.05741,2.29306,3.45827,-1,-1,3.65394
15,15,PIRE,0,1,3.99836,2.99877,4.07535,-1,-1,4.70475
16,16,PIRE,0,1,4.69925,3.52444,4.52564,-1,-1,3.50442
17,17,PIRE,0,1,5.49197,4.11898,5.02553,-1,-1,3.96363
18,18,PIRE,0,1,5.87773,4.4083,5.26522,-1,-1,1.92879
19,19,PIRE,0,1,6.72989,5.04742,5.7866,-1,-1,4.26078
20,20,PIRE,0,1,7.62097,5.71573,6.32004,-1,-1,4.45541
21,21,PIRE,0,1,8.1003,6.07522,6.60211,-1,-1,2.39663
22,22,PIRE,0,1,8.72739,6.54554,6.96606,-1,-1,3.13547
23,23,PIRE,0,1,9.23486,6.92614,7.25644,-1,-1,2.53735
24,24,PIRE,0,1,9.88375,7.41281,7.62241,-1,-1,3.24443
25,25,PIRE,0,1,10.7277,8.0458,8.08963,-1,-1,4.21991
26,26,PIRE,0,1,11.0773,8.30798,8.28028,-1,-1,1.74791
27,27,PIRE,0,1,11.7197,8.78976,8.62629,-1,-1,3.21183
28,28,PIRE,0,1,12.4137,9.31027,8.99393,-1,-1,3.47007
29,29,PIRE,0,1,12.828,9.62103,9.21041,-1,-1,2.07178
30,30,PIRE,0,1,13.0428,9.78206,9.3217,-1,-1,1.07353
