,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,PIRE,0,1,0.199925,0.279394,0,0,0,0
2,2,PIRE,0,1,0.240942,0.316066,100,0.205087,0,0
3,3,PIRE,0,1,0.290375,0.360202,100,0.247164,0,0
4,4,PIRE,0,1,0.349949,0.413307,100,0.297873,0,0
5,5,PIRE,0,1,0.421746,0.477181,100,0.358985,0,0
6,6,PIRE,0,1,0.508274,0.553976,100,0.432636,0,0
7,7,PIRE,0,1,0.612553,0.646263,100,0.521398,0,0
8,8,PIRE,0,1,0.738227,0.757101,100,0.62837,0,0
9,9,PIRE,0,1,0.889685,0.890125,100,0.75729,0,0
10,10,PIRE,0,1,1.07222,1.04964,100,0.912658,0,0
11,11,PIRE,0,1,1.2922,1.24072,100,1.0999,0,0
