,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth,NA
12,12,PIST,0,1,1.55837,1.16878,2.44472,0,0,1.32647,0
13,13,PIST,0,1,1.84076,1.38057,2.63857,-1,-1,1.41196,0
14,14,PIST,0,1,2.31638,1.73729,2.96198,-1,-1,2.37809,0
15,15,PIST,0,1,2.78145,2.08609,3.27452,-1,-1,2.32533,0
16,16,PIST,0,1,3.28231,2.46173,3.60708,-1,-1,2.5043,0
17,17,PIST,0,1,3.76128,2.82096,3.92123,-1,-1,2.39484,0
18,18,PIST,0,1,4.35576,3.26682,4.30595,-1,-1,2.97243,0
19,19,PIST,0,1,4.81534,3.61151,4.59947,-1,-1,2.2979,0
20,20,PIST,0,1,5.58301,4.18726,5.0823,-1,-1,3.83832,0
21,21,PIST,0,1,6.54868,4.91151,5.67666,-1,-1,4.82839,0
22,22,PIST,0,1,6.92428,5.19321,5.90399,-1,-1,1.87798,0
23,23,PIST,0,1,7.73108,5.79831,6.38513,-1,-1,4.03398,0
24,24,PIST,0,1,8.34127,6.25595,6.74264,-1,-1,3.05097,0
25,25,PIST,0,1,8.64653,6.4849,6.91945,-1,-1,1.52632,0
26,26,PIST,0,1,9.28044,6.96033,7.28234,-1,-1,3.16953,0
27,27,PIST,0,1,9.28044,6.96033,7.28234,-1,-1,0,0
28,28,PIST,0,1,9.77743,7.33307,7.56286,-1,-1,2.48496,0
29,29,PIST,0,1,10.0462,7.53463,7.7131,-1,-1,1.34367,0
30,30,PIST,0,1,10.0969,7.57269,7.74135,-1,-1,0.253735,0
31,31,PIST,0,1,10.5636,7.92272,7.99955,-1,-1,2.33355,0
32,32,PIST,0,1,11.1778,8.38332,8.33476,-1,-1,3.0707,0
33,33,PIST,0,1,11.7359,8.80194,8.63497,-1,-1,2.79075,0
34,34,PIST,0,1,12.6238,9.46787,9.104,-1,-1,4.43954,0
35,35,PIST,0,1,13.0543,9.79075,9.32769,-1,-1,2.15256,0
