,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP,NA
1,1,PIST,0,1,0.200061,0.279516,0,0,0,0,0
2,2,PIST,0,1,0.241106,0.316213,100,0.205227,0,0,0
3,3,PIST,0,1,0.290573,0.360379,100,0.247332,0,0,0
4,4,PIST,0,1,0.350188,0.413519,100,0.298076,0,0,0
5,5,PIST,0,1,0.422034,0.477436,100,0.35923,0,0,0
6,6,PIST,0,1,0.50862,0.554283,100,0.432931,0,0,0
7,7,PIST,0,1,0.612971,0.646632,100,0.521753,0,0,0
8,8,PIST,0,1,0.73873,0.757544,100,0.628799,0,0,0
9,9,PIST,0,1,0.890292,0.890657,100,0.757806,0,0,0
10,10,PIST,0,1,1.07295,1.05028,100,0.91328,0,0,0
11,11,PIST,0,1,1.29308,1.24149,100,1.10065,0,0,0
