,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
11,11,PRSE,0,1,1.71367,1.28525,2.96,0,0,1.65658
12,12,PRSE,0,1,2.43247,1.82435,3.60808,-1,-1,3.594
13,13,PRSE,0,1,2.43247,1.82435,3.60808,-1,-1,0
14,14,PRSE,0,1,3.13288,2.34966,4.22464,-1,-1,3.50206
15,15,PRSE,0,1,3.13288,2.34966,4.22464,-1,-1,0
16,16,PRSE,0,1,3.844,2.883,4.8359,-1,-1,3.55561
17,17,PRSE,0,1,4.09902,3.07427,5.05156,-1,-1,1.27511
18,18,PRSE,0,1,4.15976,3.11982,5.10264,-1,-1,0.303687
19,19,PRSE,0,1,4.49799,3.37349,5.38524,-1,-1,1.69116
20,20,PRSE,0,1,4.93837,3.70378,5.74838,-1,-1,2.2019
21,21,PRSE,0,1,5.28556,3.96417,6.0309,-1,-1,1.73597
22,22,PRSE,0,1,5.40697,4.05523,6.12891,-1,-1,0.607055
23,23,PRSE,0,1,5.40697,4.05523,6.12891,-1,-1,0
24,24,PRSE,0,1,5.44275,4.08207,6.15772,-1,-1,0.178897
25,25,PRSE,0,1,5.44275,4.08207,6.15772,-1,-1,0
26,26,PRSE,0,1,5.44275,4.08207,6.15772,-1,-1,0
27,27,PRSE,0,1,5.73239,4.2993,6.38965,-1,-1,1.4482
28,28,PRSE,0,1,6.07546,4.55659,6.66145,-1,-1,1.71533
29,29,PRSE,0,1,6.21498,4.66123,6.77108,-1,-1,0.697591
30,30,PRSE,0,1,6.53684,4.90263,7.02205,-1,-1,1.60932
31,31,PRSE,0,1,6.95561,5.2167,7.34452,-1,-1,2.09382
32,32,PRSE,0,1,6.95795,5.21846,7.34631,-1,-1,0.0117062
33,33,PRSE,0,1,7.13033,5.34774,7.47772,-1,-1,0.861894
34,34,PRSE,0,1,7.14052,5.35539,7.48547,-1,-1,0.0509809
35,35,PRSE,0,1,7.79591,5.84693,7.97801,-1,-1,3.27695
36,36,PRSE,0,1,7.98863,5.99147,8.12078,-1,-1,0.963599
37,37,PRSE,0,1,8.51443,6.38582,8.50562,-1,-1,2.62898
38,38,PRSE,0,1,9.04045,6.78033,8.88384,-1,-1,2.63009
39,39,PRSE,0,1,9.34135,7.00601,9.0972,-1,-1,1.50452
40,40,PRSE,0,1,9.34135,7.00601,9.0972,-1,-1,0
41,41,PRSE,0,1,9.77926,7.33444,9.40386,-1,-1,2.18955
42,42,PRSE,0,1,9.86679,7.40009,9.46462,-1,-1,0.437659
43,43,PRSE,0,1,10.3547,7.76604,9.80002,-1,-1,2.43963
44,44,PRSE,0,1,10.8053,8.104,10.1049,-1,-1,2.25305
45,45,PRSE,0,1,11.0542,8.29064,10.2713,-1,-1,1.2443
46,46,PRSE,0,1,11.1465,8.35985,10.3326,-1,-1,0.461375
47,47,PRSE,0,1,11.8106,8.85798,10.7686,-1,-1,3.32088
48,48,PRSE,0,1,11.9985,8.99886,10.8901,-1,-1,0.9392
49,49,PRSE,0,1,11.9985,8.99886,10.8901,-1,-1,0
50,50,PRSE,0,1,12.3582,9.26868,11.1208,-1,-1,1.79883
51,51,PRSE,0,1,12.3582,9.26868,11.1208,-1,-1,0
52,52,PRSE,0,1,12.942,9.70648,11.4891,-1,-1,2.91868
53,53,PRSE,0,1,12.942,9.70648,11.4891,-1,-1,0
54,54,PRSE,0,1,13.1937,9.89531,11.6457,-1,-1,1.25882
