,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,PRSE,0,1,0.199916,0.279386,0,0,0,0
2,2,PRSE,0,1,0.247831,0.32222,100,0.239574,0,0
3,3,PRSE,0,1,0.307229,0.375236,100,0.296994,0,0
4,4,PRSE,0,1,0.380865,0.440827,100,0.368176,0,0
5,5,PRSE,0,1,0.472149,0.521938,100,0.456419,0,0
6,6,PRSE,0,1,0.585311,0.622182,100,0.565811,0,0
7,7,PRSE,0,1,0.725595,0.745979,100,0.701422,0,0
8,8,PRSE,0,1,0.899503,0.898727,100,0.869536,0,0
9,9,PRSE,0,1,1.11509,1.08698,100,1.07794,0,0
10,10,PRSE,0,1,1.38235,1.31867,100,1.3363,0,0
