,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
11,11,QURU,0,1,1.68264,1.26198,2.82899,0,0,1.61359
12,12,QURU,0,1,1.85621,1.39216,2.97715,-1,-1,0.867873
13,13,QURU,0,1,1.85621,1.39216,2.97715,-1,-1,0
14,14,QURU,0,1,2.41533,1.8115,3.44891,-1,-1,2.79559
15,15,QURU,0,1,3.16432,2.37324,4.06801,-1,-1,3.74495
16,16,QURU,0,1,3.21027,2.4077,4.10551,-1,-1,0.22975
17,17,QURU,0,1,3.7056,2.7792,4.50641,-1,-1,2.47665
18,18,QURU,0,1,4.1872,3.1404,4.89024,-1,-1,2.40799
19,19,QURU,0,1,4.81952,3.61464,5.38543,-1,-1,3.16164
20,20,QURU,0,1,5.39346,4.04509,5.82644,-1,-1,2.86967
21,21,QURU,0,1,5.84034,4.38025,6.16434,-1,-1,2.23439
22,22,QURU,0,1,5.85273,4.38955,6.17364,-1,-1,0.0619787
23,23,QURU,0,1,5.88528,4.41396,6.19806,-1,-1,0.162732
24,24,QURU,0,1,5.88528,4.41396,6.19806,-1,-1,0
25,25,QURU,0,1,6.5159,4.88692,6.66621,-1,-1,3.1531
26,26,QURU,0,1,6.5159,4.88692,6.66621,-1,-1,0
27,27,QURU,0,1,6.74481,5.05861,6.83386,-1,-1,1.14457
28,28,QURU,0,1,7.24167,5.43125,7.19361,-1,-1,2.48428
29,29,QURU,0,1,7.82747,5.8706,7.61059,-1,-1,2.92899
30,30,QURU,0,1,8.12335,6.09251,7.8183,-1,-1,1.47942
31,31,QURU,0,1,8.53693,6.4027,8.1054,-1,-1,2.06791
32,32,QURU,0,1,8.70846,6.53135,8.22338,-1,-1,0.857646
33,33,QURU,0,1,8.94396,6.70797,8.38433,-1,-1,1.1775
34,34,QURU,0,1,9.11527,6.83645,8.50066,-1,-1,0.856526
35,35,QURU,0,1,9.31825,6.98869,8.63768,-1,-1,1.01489
36,36,QURU,0,1,9.91199,7.43399,9.0335,-1,-1,2.96871
37,37,QURU,0,1,10.2281,7.67108,9.24124,-1,-1,1.58057
38,38,QURU,0,1,11.1323,8.3492,9.82413,-1,-1,4.5208
39,39,QURU,0,1,11.3831,8.53731,9.98291,-1,-1,1.25412
40,40,QURU,0,1,11.4248,8.56861,10.0092,-1,-1,0.208634
41,41,QURU,0,1,11.4956,8.62168,10.0537,-1,-1,0.353809
42,42,QURU,0,1,11.7852,8.8389,10.2349,-1,-1,1.44813
43,43,QURU,0,1,12.1403,9.10524,10.4547,-1,-1,1.7756
44,44,QURU,0,1,12.1921,9.14406,10.4866,-1,-1,0.258791
45,45,QURU,0,1,12.327,9.24524,10.5693,-1,-1,0.674573
