,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,QURU,0,1,0.200085,0.279537,0,0,0,0
2,2,QURU,0,1,0.247566,0.321984,100,0.237408,0,0
3,3,QURU,0,1,0.306315,0.374421,100,0.293746,0,0
4,4,QURU,0,1,0.379006,0.439174,100,0.363455,0,0
5,5,QURU,0,1,0.468947,0.519098,100,0.449705,0,0
6,6,QURU,0,1,0.580232,0.61769,100,0.556424,0,0
7,7,QURU,0,1,0.717926,0.739225,100,0.688467,0,0
8,8,QURU,0,1,0.888295,0.888907,100,0.851845,0,0
9,9,QURU,0,1,1.09909,1.07305,100,1.05399,0,0
10,10,QURU,0,1,1.35992,1.29929,100,1.30412,0,0
