,Time,Species,X,Y,Diam10,Height,Light,Growth ,NA,NP
1,1,TSCA,0,1,0.200089,0.279541,0,0,0,0
2,2,TSCA,0,1,0.24394,0.318745,100,0.219257,0,0
3,3,TSCA,0,1,0.297402,0.366471,100,0.267309,0,0
4,4,TSCA,0,1,0.362581,0.424554,100,0.325892,0,0
5,5,TSCA,0,1,0.442043,0.495213,100,0.397315,0,0
6,6,TSCA,0,1,0.538921,0.581129,100,0.48439,0,0
7,7,TSCA,0,1,0.657031,0.685538,100,0.590548,0,0
8,8,TSCA,0,1,0.801026,0.81233,100,0.719973,0,0
9,9,TSCA,0,1,0.976578,0.96617,100,0.877761,0,0
10,10,TSCA,0,1,1.1906,1.15263,100,1.07013,0,0
