,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
11,11,TSCA,0,1,1.45154,1.08865,2.09899,0,0,1.30466
12,12,TSCA,0,1,1.45154,1.08865,2.09899,-1,-1,0
13,13,TSCA,0,1,1.83775,1.37831,2.29495,-1,-1,1.93106
14,14,TSCA,0,1,2.2648,1.6986,2.51004,-1,-1,2.13524
15,15,TSCA,0,1,2.83004,2.12253,2.79216,-1,-1,2.82622
16,16,TSCA,0,1,2.93494,2.20121,2.8442,-1,-1,0.524525
17,17,TSCA,0,1,3.33731,2.50298,3.04288,-1,-1,2.01182
18,18,TSCA,0,1,3.35688,2.51766,3.05251,-1,-1,0.0978647
19,19,TSCA,0,1,3.58727,2.69045,3.16557,-1,-1,1.15194
20,20,TSCA,0,1,3.7309,2.79817,3.23582,-1,-1,0.718134
21,21,TSCA,0,1,4.27011,3.20258,3.4979,-1,-1,2.69608
22,22,TSCA,0,1,4.85706,3.64279,3.78027,-1,-1,2.93471
23,23,TSCA,0,1,5.55545,4.16659,4.11234,-1,-1,3.492
24,24,TSCA,0,1,5.76097,4.32072,4.20925,-1,-1,1.02756
25,25,TSCA,0,1,6.09768,4.57326,4.36725,-1,-1,1.68357
26,26,TSCA,0,1,6.2038,4.65285,4.41685,-1,-1,0.530622
27,27,TSCA,0,1,6.32876,4.74657,4.47512,-1,-1,0.624769
28,28,TSCA,0,1,6.43961,4.82971,4.52671,-1,-1,0.554246
29,29,TSCA,0,1,6.59314,4.94486,4.59798,-1,-1,0.767679
30,30,TSCA,0,1,6.81844,5.11383,4.70221,-1,-1,1.12647
31,31,TSCA,0,1,6.99976,5.24982,4.78579,-1,-1,0.906641
32,32,TSCA,0,1,7.58776,5.69082,5.05491,-1,-1,2.93997
33,33,TSCA,0,1,8.02528,6.01896,5.2533,-1,-1,2.18759
34,34,TSCA,0,1,8.60071,6.45053,5.51182,-1,-1,2.87714
35,35,TSCA,0,1,8.87982,6.65986,5.63624,-1,-1,1.39556
36,36,TSCA,0,1,8.98046,6.73534,5.68095,-1,-1,0.503195
37,37,TSCA,0,1,9.55425,7.16569,5.93428,-1,-1,2.86898
38,38,TSCA,0,1,9.63551,7.22663,5.96994,-1,-1,0.406284
39,39,TSCA,0,1,9.63551,7.22663,5.96994,-1,-1,0
40,40,TSCA,0,1,9.66687,7.25015,5.98369,-1,-1,0.156785
41,41,TSCA,0,1,10.5557,7.9168,6.37014,-1,-1,4.44434
42,42,TSCA,0,1,10.7552,8.06641,6.45601,-1,-1,0.997397
43,43,TSCA,0,1,10.9477,8.21077,6.53856,-1,-1,0.962402
44,44,TSCA,0,1,11.1627,8.37205,6.63046,-1,-1,1.07519
45,45,TSCA,0,1,11.1627,8.37205,6.63046,-1,-1,0
46,46,TSCA,0,1,11.6027,8.702,6.81734,-1,-1,2.19969
47,47,TSCA,0,1,11.7714,8.82854,6.88861,-1,-1,0.843604
48,48,TSCA,0,1,12.0355,9.02666,6.99976,-1,-1,1.32075
49,49,TSCA,0,1,12.7624,9.57178,7.30283,-1,-1,3.63416
