"","species","type","MeanGrowth","SE"
"1","TSCA","sapling","0.223240263157895","0.0281640988357012"
"2","TSCA","adult","0.424856","1.16555361052371e-05"
"3","QURU","sapling","0.234801764705882","0.0317083220082025"
"4","QURU","adult","0.281517621145374","0.00501270087970131"
"5","PIST","sapling","0.374868260869565","0.0365906274563457"
"6","PIST","adult","0.644841810344828","0.00463822469768762"
"7","PIRE","sapling","0.47856","0.036367577485404"
"8","PIRE","adult","0.643586780383795","0.00462689504280475"
"9","PIAB","sapling","0.306406428571429","0.0283846629129364"
"10","PIAB","adult","0.289627391304348","0.00270552842041481"
"11","FRAM","sapling","0.272575","0.0339991889016156"
"12","FRAM","adult","0.500656703296703","1.9860219155614e-05"
"13","FAGR","sapling","0.171532911392405","0.015315929514367"
"14","FAGR","adult","0.181158910891089","0.00544189521296002"
"15","BEPA","sapling","0.211481707317073","0.0202895568413253"
"16","BEPA","adult","0.146095964125561","0.00280837402124389"
"17","BELE","sapling","0.190592826086957","0.0207275790320006"
"18","BELE","adult","0.183599546485261","0.00195070321735629"
"19","BEAL","sapling","0.725410833333333","0.0278176192927915"
"20","BEAL","adult","0.185154545454545","0.00267074611618243"
"21","ACSA","sapling","0.301997738589212","0.0082710479137248"
"22","ACSA","adult","0.301997738589212","0.0082710479137248"
"23","ACRU","sapling","0.177431041666667","0.019969248264829"
"24","ACRU","adult","0.412365825688073","1.64369066750926e-05"
