,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR
1,1,ACSA,0.279526,0,0.200072,0.021407704,1,BEAL,0.27949,0,0.200032,0.021803488,1,ACRU,0.279389,0,1.15882,0.12515256,1,BELE,0.279518,0,0.200064,0.021806976,1,BEPA,0.279417,0,0.199951,0.021794659,1,FAGR,0.279531,0,0.200079,0.030412008,1,FRAM,0.279376,0,0.199905,0.018990975,1,PIAB,0.2794,0,0.199932,0.0199932,1,PIRE,0.279394,0,0.199925,0.017393475,1,PIST,0.279516,0,0.200061,0.017405307,1,PRSE,0.279386,0,0.199916,0.023190256,1,QURU,0.279537,0,0.200085,0.023810115,1,TSCA,0.279541,0,0.200089,0.0200089
2,2,ACSA,0.301716,0.12407,0.224886,0.024062802,2,BEAL,0.309349,0.166968,0.233426,0.025443434,2,ACRU,0.307504,0.157209,1.36826,0.14777208,2,BELE,0.316591,0.20733,0.24153,0.02632677,2,BEPA,0.316469,0.207213,0.241394,0.026311946,2,FAGR,0.306186,0.149039,0.229886,0.034942672,2,FRAM,0.31642,0.207165,0.241338,0.02292711,2,PIAB,0.318574,0.219085,0.243749,0.0243749,2,PIRE,0.316066,0.205087,0.240942,0.020961954,2,PIST,0.316213,0.205227,0.241106,0.020976222,2,PRSE,0.32222,0.239574,0.247831,0.028748396,2,QURU,0.321984,0.237408,0.247566,0.029460354,2,TSCA,0.318745,0.219257,0.24394,0.024394
3,3,ACSA,0.32664,0.139458,0.252778,0.027047246,3,BEAL,0.344156,0.194841,0.272394,0.029690946,3,ACRU,0.340008,0.181934,1.73262,0.18712296,3,BELE,0.361287,0.250302,0.29159,0.03178331,3,BEPA,0.36114,0.25016,0.291426,0.031765434,3,FAGR,0.336782,0.171243,0.264135,0.04014852,3,FRAM,0.36108,0.250102,0.291358,0.02767901,3,PIAB,0.366263,0.267099,0.297169,0.0297169,3,PIRE,0.360202,0.247164,0.290375,0.025262625,3,PIST,0.360379,0.247332,0.290573,0.025279851,3,PRSE,0.375236,0.296994,0.307229,0.035638564,3,QURU,0.374421,0.293746,0.306315,0.036451485,3,TSCA,0.366471,0.267309,0.297402,0.0297402
4,4,ACSA,0.354629,0.156754,0.284129,0.030401803,4,BEAL,0.384721,0.227368,0.317868,0.034647612,4,ACRU,0.37758,0.210547,2.10259,0.22707972,4,BELE,0.415156,0.30218,0.352026,0.038370834,4,BEPA,0.41498,0.302009,0.351827,0.038349143,4,FAGR,0.371898,0.196755,0.303486,0.046129872,4,FRAM,0.414907,0.301939,0.351746,0.03341587,4,PIAB,0.424301,0.325636,0.362296,0.0362296,4,PIRE,0.413307,0.297873,0.349949,0.030445563,4,PIST,0.413519,0.298076,0.350188,0.030466356,4,PRSE,0.440827,0.368176,0.380865,0.04418034,4,QURU,0.439174,0.363455,0.379006,0.045101714,4,TSCA,0.424554,0.325892,0.362581,0.0362581
5,5,ACSA,0.386058,0.176195,0.319368,0.034172376,5,BEAL,0.431989,0.265325,0.370933,0.040431697,5,ACRU,0.421001,0.24366,2.46463,0.26618004,5,BELE,0.480061,0.364811,0.424988,0.046323692,5,BEPA,0.479848,0.364605,0.424748,0.046297532,5,FAGR,0.412194,0.226068,0.3487,0.0530024,5,FRAM,0.479761,0.36452,0.42465,0.04034175,5,PIAB,0.494904,0.397003,0.441696,0.0441696,5,PIRE,0.477181,0.358985,0.421746,0.036691902,5,PIST,0.477436,0.35923,0.422034,0.036716958,5,PRSE,0.521938,0.456419,0.472149,0.054769284,5,QURU,0.519098,0.449705,0.468947,0.055804693,5,TSCA,0.495213,0.397315,0.442043,0.0442043
6,6,ACSA,0.421346,0.198048,0.358977,0.038410539,6,BEAL,0.487052,0.309619,0.432857,0.047181413,6,ACRU,0.471172,0.281981,2.46463,0.26618004,6,BELE,0.55823,0.440422,0.513073,0.055924957,6,BEPA,0.557973,0.440174,0.512783,0.055893347,6,FAGR,0.458426,0.259747,0.400649,0.060898648,6,FRAM,0.557868,0.440072,0.512664,0.04870308,6,PIAB,0.580755,0.484009,0.538498,0.0538498,6,PIRE,0.553976,0.432636,0.508274,0.044219838,6,PIST,0.554283,0.432931,0.50862,0.04424994,6,PRSE,0.622182,0.565811,0.585311,0.067896076,6,QURU,0.61769,0.556424,0.580232,0.069047608,6,TSCA,0.581129,0.48439,0.538921,0.0538921
7,7,ACSA,0.46096,0.222611,0.403499,0.043174393,7,BEAL,0.551179,0.361307,0.505118,0.055057862,7,ACRU,0.529128,0.326329,2.85141,0.30795228,7,BELE,0.652325,0.531706,0.619414,0.067516126,7,BEPA,0.652016,0.531406,0.619064,0.067477976,7,FAGR,0.511457,0.298445,0.460338,0.069971376,7,FRAM,0.651889,0.531283,0.618921,0.058797495,7,PIAB,0.685083,0.590085,0.656515,0.0656515,7,PIRE,0.646263,0.521398,0.612553,0.053292111,7,PIST,0.646632,0.521753,0.612971,0.053328477,7,PRSE,0.745979,0.701422,0.725595,0.08416902,7,QURU,0.739225,0.688467,0.717926,0.085433194,7,TSCA,0.685538,0.590548,0.657031,0.0657031
8,8,ACSA,0.505425,0.25022,0.453543,0.048529101,8,BEAL,0.625835,0.421624,0.589443,0.064249287,8,ACRU,0.596057,0.377652,3.00701,0.32475708,8,BELE,0.765523,0.641909,0.747796,0.081509764,8,BEPA,0.765152,0.641547,0.747374,0.081463766,8,FAGR,0.572271,0.342907,0.52892,0.08039584,8,FRAM,0.764999,0.641398,0.747201,0.070984095,8,PIAB,0.811777,0.719407,0.800397,0.0800397,8,PIRE,0.757101,0.62837,0.738227,0.064225749,8,PIST,0.757544,0.628799,0.73873,0.06426951,8,PRSE,0.898727,0.869536,0.899503,0.104342348,8,QURU,0.888907,0.851845,0.888295,0.105707105,8,TSCA,0.81233,0.719973,0.801026,0.0801026
9,9,ACSA,0.555324,0.281254,0.509794,0.054547958,9,BEAL,0.712717,0.49201,0.687845,0.074975105,9,ACRU,0.673323,0.437046,3.11723,0.33666084,9,BELE,0.901604,0.774953,0.902786,0.098403674,9,BEPA,0.901157,0.774516,0.902277,0.098348193,9,FAGR,0.641991,0.393994,0.607718,0.092373136,9,FRAM,0.900974,0.774337,0.902068,0.08569646,9,PIAB,0.9655,0.877072,0.975811,0.0975811,9,PIRE,0.890125,0.75729,0.889685,0.077402595,9,PIST,0.890657,0.757806,0.890292,0.077455404,9,PRSE,1.08698,1.07794,1.11509,0.12935044,9,QURU,1.07305,1.05399,1.09909,0.13079171,9,TSCA,0.96617,0.877761,0.976578,0.0976578
10,10,ACSA,0.611312,0.316136,0.573021,0.061313247,10,BEAL,0.813778,0.574146,0.802674,0.087491466,10,ACRU,0.762489,0.505782,3.20768,0.34642944,10,BELE,1.06505,0.935573,1.0899,0.1187991,10,BEPA,1.06451,0.935045,1.08929,0.11873261,10,FAGR,0.721895,0.452691,0.698257,0.106135064,10,FRAM,1.06429,0.934828,1.08903,0.10345785,10,PIAB,1.15182,1.06929,1.18967,0.118967,10,PIRE,1.04964,0.912658,1.07222,0.09328314,10,PIST,1.05028,0.91328,1.07295,0.09334665,10,PRSE,1.31867,1.3363,1.38235,0.1603526,10,QURU,1.29929,1.30412,1.35992,0.16183048,10,TSCA,1.15263,1.07013,1.1906,0.11906
