,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR,time,i,Height,Growth,DBH,CR
1,1,ACSA,0.279504,0,0.200048,0.021405136,1,BEAL,0.279485,0,0.200026,0.021802834,1,ACRU,0.279516,0,0.200061,0.021606588,1,BELE,0.279431,0,0.199966,0.021796294,1,BEPA,0.279544,0,0.200093,0.021810137,1,FAGR,0.279399,0,0.199931,0.030389512,1,FRAM,0.279533,0,0.200081,0.019007695,1,PIAB,0.279407,0,0.19994,0.019994,1,PIRE,0.279486,0,0.200027,0.017402349,1,PIST,0.279532,0,0.200079,0.017406873,1,PRSE,0.279396,0,0.199927,0.023191532,1,QURU,0.279534,0,0.200082,0.023809758,1,TSCA,0.279393,0,0.199924,0.0199924
2,2,ACSA,0.292025,0.069999,0.214047,0.022903029,2,BEAL,0.293021,0.0756735,0.215161,0.023452549,2,ACRU,0.283675,0.0232493,0.204711,0.022108788,2,BELE,0.283457,0.0225061,0.204467,0.022286903,2,BEPA,0.283574,0.0225204,0.204597,0.022301073,2,FAGR,0.28838,0.0502028,0.209971,0.031915592,2,FRAM,0.283562,0.022519,0.204584,0.01943548,2,PIAB,0.286867,0.0416982,0.208279,0.0208279,2,PIRE,0.282626,0.0175526,0.203538,0.017707806,2,PIST,0.282673,0.0175572,0.20359,0.01771233,2,PRSE,0.288501,0.0508952,0.210106,0.024372296,2,QURU,0.283171,0.0203278,0.204147,0.024293493,2,TSCA,0.286852,0.0416948,0.208263,0.0208263
3,3,ACSA,0.305418,0.0748978,0.229027,0.024505889,3,BEAL,0.307575,0.0813992,0.231441,0.025227069,3,ACRU,0.287931,0.0237897,0.209469,0.022622652,3,BELE,0.287574,0.0230127,0.20907,0.02278863,3,BEPA,0.287693,0.0230274,0.209203,0.022803127,3,FAGR,0.297809,0.052724,0.220516,0.033518432,3,FRAM,0.287681,0.0230259,0.20919,0.01987305,3,PIAB,0.294636,0.0434374,0.216967,0.0216967,3,PIRE,0.285821,0.0178607,0.20711,0.01801857,3,PIST,0.285869,0.0178653,0.207163,0.018023181,3,PRSE,0.298067,0.0534865,0.220804,0.025613264,3,QURU,0.286881,0.0207408,0.208295,0.024787105,3,TSCA,0.294621,0.043434,0.21695,0.021695
4,4,ACSA,0.319741,0.0801393,0.245055,0.026220885,4,BEAL,0.323223,0.0875581,0.248953,0.027135877,4,ACRU,0.292285,0.0243426,0.214337,0.023148396,4,BELE,0.291783,0.0235307,0.213776,0.023301584,4,BEPA,0.291904,0.0235457,0.213912,0.023316408,4,FAGR,0.307709,0.0553719,0.23159,0.03520168,4,FRAM,0.291892,0.0235442,0.213898,0.02032031,4,PIAB,0.302727,0.0452492,0.226017,0.0226017,4,PIRE,0.289072,0.0181742,0.210745,0.018334815,4,PIST,0.289121,0.0181788,0.210799,0.018339513,4,PRSE,0.308116,0.0562097,0.232046,0.026917336,4,QURU,0.290667,0.0211623,0.212528,0.025290832,4,TSCA,0.302711,0.0452456,0.225999,0.0225999
5,5,ACSA,0.335058,0.0857476,0.262204,0.028055828,5,BEAL,0.340045,0.0941831,0.267789,0.029189001,5,ACRU,0.296739,0.0249084,0.219319,0.023686452,5,BELE,0.296086,0.0240604,0.218588,0.023826092,5,BEPA,0.29621,0.0240757,0.218727,0.023841243,5,FAGR,0.318102,0.0581526,0.243221,0.036969592,5,FRAM,0.296198,0.0240742,0.218713,0.020777735,5,PIAB,0.311153,0.0471366,0.235444,0.0235444,5,PIRE,0.29238,0.0184931,0.214444,0.018656628,5,PIST,0.292429,0.0184979,0.214499,0.018661413,5,PRSE,0.318673,0.0590715,0.24386,0.02828776,5,QURU,0.294528,0.0215923,0.216846,0.025804674,5,TSCA,0.311136,0.0471329,0.235425,0.0235425
6,6,ACSA,0.351439,0.0917484,0.280554,0.030019278,6,BEAL,0.358129,0.101309,0.288051,0.031397559,6,ACRU,0.301296,0.0254873,0.224416,0.024236928,6,BELE,0.300485,0.024602,0.223508,0.024362372,6,BEPA,0.300612,0.0246177,0.223651,0.024377959,6,FAGR,0.329013,0.0610731,0.255436,0.038826272,6,FRAM,0.300599,0.0246161,0.223636,0.02124542,6,PIAB,0.319928,0.0491027,0.245265,0.0245265,6,PIRE,0.295745,0.0188177,0.218207,0.018984009,6,PIST,0.295795,0.0188225,0.218263,0.018988881,6,PRSE,0.329764,0.0620791,0.256276,0.029728016,6,QURU,0.298468,0.022031,0.221253,0.026329107,6,TSCA,0.319911,0.0490988,0.245245,0.0245245
7,7,ACSA,0.368956,0.0981692,0.300188,0.032120116,7,BEAL,0.377569,0.108975,0.309846,0.033773214,7,ACRU,0.305959,0.0260797,0.229632,0.024800256,7,BELE,0.304982,0.0251558,0.22854,0.02491086,7,BEPA,0.305112,0.0251718,0.228685,0.024926665,7,FAGR,0.340468,0.0641402,0.268264,0.040776128,7,FRAM,0.305099,0.0251702,0.228671,0.021723745,7,PIAB,0.329066,0.0511508,0.255495,0.0255495,7,PIRE,0.299169,0.0191479,0.222037,0.019317219,7,PIST,0.29922,0.0191528,0.222094,0.019322178,7,PRSE,0.341415,0.0652397,0.269324,0.031241584,7,QURU,0.302487,0.0224787,0.225748,0.026864012,7,TSCA,0.329048,0.0511468,0.255474,0.0255474
8,8,ACSA,0.387688,0.105039,0.321196,0.034367972,8,BEAL,0.398466,0.11722,0.33329,0.03632861,8,ACRU,0.310729,0.0266858,0.234969,0.025376652,8,BELE,0.30958,0.025722,0.233684,0.025471556,8,BEPA,0.309713,0.0257384,0.233833,0.025487797,8,FAGR,0.352494,0.0673613,0.281736,0.042823872,8,FRAM,0.3097,0.0257368,0.233818,0.02221271,8,PIAB,0.338583,0.0532844,0.266152,0.0266152,8,PIRE,0.302653,0.019484,0.225933,0.019656171,8,PIST,0.302704,0.019489,0.225992,0.019661304,8,PRSE,0.353654,0.0685613,0.283036,0.032832176,8,QURU,0.306587,0.0229354,0.230335,0.027409865,8,TSCA,0.338564,0.0532801,0.26613,0.026613
9,9,ACSA,0.407717,0.11239,0.343674,0.036773118,9,BEAL,0.420928,0.126089,0.358508,0.039077372,9,ACRU,0.315609,0.0273061,0.240431,0.025966548,9,BELE,0.314281,0.026301,0.238944,0.026044896,9,BEPA,0.314417,0.0263178,0.239096,0.026061464,9,FAGR,0.365118,0.0707442,0.295885,0.04497452,9,FRAM,0.314403,0.0263161,0.239081,0.022712695,9,PIAB,0.348493,0.0555069,0.277253,0.0277253,9,PIRE,0.306197,0.0198259,0.229899,0.020001213,9,PIST,0.30625,0.019831,0.229958,0.020006346,9,PRSE,0.366511,0.072052,0.297446,0.034503736,9,QURU,0.31077,0.0234015,0.235016,0.027966904,9,TSCA,0.348473,0.0555025,0.277231,0.0277231
10,10,ACSA,0.429134,0.120256,0.367725,0.039346575,10,BEAL,0.445071,0.13563,0.385634,0.042034106,10,ACRU,0.320602,0.0279407,0.246019,0.026570052,10,BELE,0.319087,0.0268931,0.244323,0.026631207,10,BEPA,0.319225,0.0269102,0.244478,0.026648102,10,FAGR,0.37837,0.074297,0.310744,0.047233088,10,FRAM,0.319212,0.0269085,0.244463,0.023223985,10,PIAB,0.358813,0.0578221,0.288817,0.0288817,10,PIRE,0.309803,0.0201739,0.233933,0.020352171,10,PIST,0.309857,0.0201791,0.233994,0.020357478,10,PRSE,0.380016,0.0757205,0.312591,0.036260556,10,QURU,0.315038,0.023877,0.239791,0.028535129,10,TSCA,0.358792,0.0578175,0.288794,0.0288794
