Step,Subplot,Sdl Abs Den: ACRU,Sdl Abs Den: ACSA,Sdl Abs Den: BEAL,Sdl Abs Den: BEPA,Sdl Abs Den: BELE,Sdl Abs Den: FAGR,Sdl Abs Den: TSCA,Sdl Abs Den: FRAM,Sdl Abs Den: PIST,Sdl Abs Den: PRSE,Sdl Abs Den: QURU,Sdl Abs Den: PIRE,Sdl Abs Den: PIAB,Sdl Den Total:,Sapl Abs BA: ACRU,Sapl Abs BA: ACSA,Sapl Abs BA: BEAL,Sapl Abs BA: BEPA,Sapl Abs BA: BELE,Sapl Abs BA: FAGR,Sapl Abs BA: TSCA,Sapl Abs BA: FRAM,Sapl Abs BA: PIST,Sapl Abs BA: PRSE,Sapl Abs BA: QURU,Sapl Abs BA: PIRE,Sapl Abs BA: PIAB,Sapl BA Total:,Sapl Rel BA: ACRU,Sapl Rel BA: ACSA,Sapl Rel BA: BEAL,Sapl Rel BA: BEPA,Sapl Rel BA: BELE,Sapl Rel BA: FAGR,Sapl Rel BA: TSCA,Sapl Rel BA: FRAM,Sapl Rel BA: PIST,Sapl Rel BA: PRSE,Sapl Rel BA: QURU,Sapl Rel BA: PIRE,Sapl Rel BA: PIAB,Sapl Abs Den: ACRU,Sapl Abs Den: ACSA,Sapl Abs Den: BEAL,Sapl Abs Den: BEPA,Sapl Abs Den: BELE,Sapl Abs Den: FAGR,Sapl Abs Den: TSCA,Sapl Abs Den: FRAM,Sapl Abs Den: PIST,Sapl Abs Den: PRSE,Sapl Abs Den: QURU,Sapl Abs Den: PIRE,Sapl Abs Den: PIAB,Sapl Den Total:,Sapl Rel Den: ACRU,Sapl Rel Den: ACSA,Sapl Rel Den: BEAL,Sapl Rel Den: BEPA,Sapl Rel Den: BELE,Sapl Rel Den: FAGR,Sapl Rel Den: TSCA,Sapl Rel Den: FRAM,Sapl Rel Den: PIST,Sapl Rel Den: PRSE,Sapl Rel Den: QURU,Sapl Rel Den: PIRE,Sapl Rel Den: PIAB,Adult Abs BA: ACRU,Adult Abs BA: ACSA,Adult Abs BA: BEAL,Adult Abs BA: BEPA,Adult Abs BA: BELE,Adult Abs BA: FAGR,Adult Abs BA: TSCA,Adult Abs BA: FRAM,Adult Abs BA: PIST,Adult Abs BA: PRSE,Adult Abs BA: QURU,Adult Abs BA: PIRE,Adult Abs BA: PIAB,Adult BA Total:,Adult Rel BA: ACRU,Adult Rel BA: ACSA,Adult Rel BA: BEAL,Adult Rel BA: BEPA,Adult Rel BA: BELE,Adult Rel BA: FAGR,Adult Rel BA: TSCA,Adult Rel BA: FRAM,Adult Rel BA: PIST,Adult Rel BA: PRSE,Adult Rel BA: QURU,Adult Rel BA: PIRE,Adult Rel BA: PIAB,Adult Abs Den: ACRU,Adult Abs Den: ACSA,Adult Abs Den: BEAL,Adult Abs Den: BEPA,Adult Abs Den: BELE,Adult Abs Den: FAGR,Adult Abs Den: TSCA,Adult Abs Den: FRAM,Adult Abs Den: PIST,Adult Abs Den: PRSE,Adult Abs Den: QURU,Adult Abs Den: PIRE,Adult Abs Den: PIAB,Adult Den Total:,Adult Rel Den: ACRU,Adult Rel Den: ACSA,Adult Rel Den: BEAL,Adult Rel Den: BEPA,Adult Rel Den: BELE,Adult Rel Den: FAGR,Adult Rel Den: TSCA,Adult Rel Den: FRAM,Adult Rel Den: PIST,Adult Rel Den: PRSE,Adult Rel Den: QURU,Adult Rel Den: PIRE,Adult Rel Den: PIAB,Natural Dead Sdl Abs Den: ACRU,Natural Dead Sdl Abs Den: ACSA,Natural Dead Sdl Abs Den: BEAL,Natural Dead Sdl Abs Den: BEPA,Natural Dead Sdl Abs Den: BELE,Natural Dead Sdl Abs Den: FAGR,Natural Dead Sdl Abs Den: TSCA,Natural Dead Sdl Abs Den: FRAM,Natural Dead Sdl Abs Den: PIST,Natural Dead Sdl Abs Den: PRSE,Natural Dead Sdl Abs Den: QURU,Natural Dead Sdl Abs Den: PIRE,Natural Dead Sdl Abs Den: PIAB,Natural Dead Sdl Den Total:,Natural Dead Sapl Abs BA: ACRU,Natural Dead Sapl Abs BA: ACSA,Natural Dead Sapl Abs BA: BEAL,Natural Dead Sapl Abs BA: BEPA,Natural Dead Sapl Abs BA: BELE,Natural Dead Sapl Abs BA: FAGR,Natural Dead Sapl Abs BA: TSCA,Natural Dead Sapl Abs BA: FRAM,Natural Dead Sapl Abs BA: PIST,Natural Dead Sapl Abs BA: PRSE,Natural Dead Sapl Abs BA: QURU,Natural Dead Sapl Abs BA: PIRE,Natural Dead Sapl Abs BA: PIAB,Natural Dead Sapl BA Total:,Natural Dead Sapl Abs Den: ACRU,Natural Dead Sapl Abs Den: ACSA,Natural Dead Sapl Abs Den: BEAL,Natural Dead Sapl Abs Den: BEPA,Natural Dead Sapl Abs Den: BELE,Natural Dead Sapl Abs Den: FAGR,Natural Dead Sapl Abs Den: TSCA,Natural Dead Sapl Abs Den: FRAM,Natural Dead Sapl Abs Den: PIST,Natural Dead Sapl Abs Den: PRSE,Natural Dead Sapl Abs Den: QURU,Natural Dead Sapl Abs Den: PIRE,Natural Dead Sapl Abs Den: PIAB,Natural Dead Sapl Den Total:,Natural Dead Adult Abs BA: ACRU,Natural Dead Adult Abs BA: ACSA,Natural Dead Adult Abs BA: BEAL,Natural Dead Adult Abs BA: BEPA,Natural Dead Adult Abs BA: BELE,Natural Dead Adult Abs BA: FAGR,Natural Dead Adult Abs BA: TSCA,Natural Dead Adult Abs BA: FRAM,Natural Dead Adult Abs BA: PIST,Natural Dead Adult Abs BA: PRSE,Natural Dead Adult Abs BA: QURU,Natural Dead Adult Abs BA: PIRE,Natural Dead Adult Abs BA: PIAB,Natural Dead Adult BA Total:,Natural Dead Adult Abs Den: ACRU,Natural Dead Adult Abs Den: ACSA,Natural Dead Adult Abs Den: BEAL,Natural Dead Adult Abs Den: BEPA,Natural Dead Adult Abs Den: BELE,Natural Dead Adult Abs Den: FAGR,Natural Dead Adult Abs Den: TSCA,Natural Dead Adult Abs Den: FRAM,Natural Dead Adult Abs Den: PIST,Natural Dead Adult Abs Den: PRSE,Natural Dead Adult Abs Den: QURU,Natural Dead Adult Abs Den: PIRE,Natural Dead Adult Abs Den: PIAB,Natural Dead Adult Den Total:
0,0,250,0,250,250,250,250,250,250,250,250,250,250,250,3000,0.303037,0,0.189844,0.0146196,0.0495202,0.181473,0.679105,0.00550521,0.0277334,0.00424319,0.0243172,0.000374882,0.0124725,1.49225,0.203075,0,0.127221,0.00979705,0.033185,0.121611,0.455089,0.00368921,0.018585,0.00284349,0.0162957,0.00025122,0.00835818,112.943,0,90.8286,4.05714,32.1714,111.2,439.086,2.54286,27.5714,2.57143,21.2,0.2,2.85714,847.229,0.133309,0,0.107207,0.00478872,0.0379726,0.131251,0.518261,0.00300138,0.0325431,0.00303511,0.0250228,0.000236064,0.00337234,5.73206,0,0.801681,0.382631,0.527578,0.368497,12.9083,0.0933258,4.40393,0.143131,8.70266,1.92052,0.681895,36.6662,0.156331,0,0.0218643,0.0104355,0.0143887,0.0100501,0.352049,0.00254528,0.120109,0.00390362,0.237348,0.0523784,0.0185974,171.943,0,34.4857,11.2,18.5143,6.68571,222.6,2.65714,42.8286,4.02857,99.1714,22.3714,22.7714,659.257,0.260813,0,0.05231,0.0169888,0.0280836,0.0101413,0.337653,0.00403051,0.0649649,0.00611077,0.150429,0.0339343,0.034541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,886.314,0,234.657,148.486,161.6,268.457,814.2,134.543,790.543,151.8,316.314,500.486,271.371,4678.77,0.290219,0,0.187695,0.0138144,0.048319,0.182824,0.675804,0.00515071,0.0278243,0.0040267,0.0241469,0.000392411,0.011558,1.47177,0.19719,0,0.12753,0.00938621,0.0328304,0.12422,0.459176,0.00349966,0.0189053,0.00273595,0.0164066,0.000266625,0.00785314,106.657,0,84.8,3.6,30.5143,107.371,421.2,2.37143,25.7429,2.42857,19.6,0.2,2.57143,807.057,0.132156,0,0.105073,0.00446065,0.0378093,0.133041,0.521896,0.00293837,0.0318972,0.00300917,0.0242858,0.000247814,0.00318618,5.78531,0,0.804764,0.37698,0.52986,0.361512,12.9946,0.0947655,4.46091,0.138483,8.78138,1.92155,0.680724,36.9309,0.156652,0,0.0217911,0.0102077,0.0143473,0.00978888,0.351864,0.00256602,0.120791,0.00374979,0.237779,0.052031,0.0184324,169.486,0,35.2,10.9429,18.2286,6.62857,220.743,2.68571,42.1143,3.85714,98,21.9429,22.4286,652.257,0.259845,0,0.0539664,0.0167769,0.0279469,0.0101625,0.338429,0.00411757,0.064567,0.00591353,0.150247,0.0336414,0.0343861,118.943,0,56.0857,126,117.743,4.08571,8,128.029,25.1714,110.143,106.829,27.7714,7.6,836.4,0.0147467,0,0.00806295,0.0011016,0.00254914,0.0049485,0.0213011,0.000156215,0.00143668,0.000447614,0.00128186,0,0.00110451,0.0571369,5.17143,0,4.08571,0.428571,1.57143,3.74286,16.1714,0.114286,1.74286,0.142857,1.54286,0,0.285714,35,0.0521575,0,0.0126603,0.00654043,0.00589019,0.00277638,0.0723293,0,0.0310549,0.00224108,0.0438363,0.0255265,0.00530136,0.260314,1.71429,0,0.657143,0.2,0.171429,0.0571429,1.85714,0,0.514286,0.0571429,0.571429,0.314286,0.2,6.31429
2,0,1229.43,0,224.8,99.3714,120.4,285.514,1346.8,83.8857,1276.89,104.743,370.6,729.514,290.886,6162.83,0.278375,0,0.180933,0.0129898,0.0475107,0.183018,0.671847,0.00506485,0.0265269,0.00391901,0.0237986,0.000417951,0.0112347,1.44564,0.192562,0,0.125158,0.00898556,0.0328649,0.1266,0.464742,0.00350354,0.0183497,0.00271093,0.0164624,0.000289112,0.00777146,100.371,0,78.5429,3.31429,28.9143,103.171,403.943,2.2,24,2.28571,18.2,0.2,2.45714,767.6,0.13076,0,0.102323,0.00431773,0.0376684,0.134408,0.526241,0.00286608,0.0312663,0.00297774,0.0237103,0.000260552,0.00320107,5.85971,0,0.817684,0.364719,0.535928,0.356185,13.0683,0.0942262,4.52376,0.135533,8.82047,1.92518,0.682595,37.1843,0.157586,0,0.02199,0.0098084,0.0144127,0.0095789,0.351447,0.00253403,0.121658,0.00364491,0.237209,0.051774,0.0183571,167.286,0,36.4286,10.6,17.9714,6.57143,218.829,2.62857,41.5714,3.65714,96.4857,21.5429,22.1429,645.714,0.259071,0,0.0564159,0.0164159,0.0278319,0.010177,0.338894,0.0040708,0.0643805,0.00566372,0.149425,0.0333628,0.034292,413.486,0,50.1714,69.8857,69,4.22857,30.8286,62.0286,85.8,58.4571,121.714,56.6571,7.91429,1030.17,0.0138328,0,0.00998453,0.000880596,0.00189436,0.00658106,0.0207471,0.000316519,0.00253358,0.000290645,0.00143751,0,0.000457845,0.0589566,5.25714,0,4.05714,0.228571,1.48571,4.14286,15.4,0.171429,1.62857,0.142857,1.34286,0,0.114286,33.9714,0.0454869,0,0.0117969,0.00723196,0.00371329,0.00169453,0.072181,0.00299979,0.0233937,0.00428288,0.0645033,0.020598,0.00373875,0.261621,1.71429,0,0.542857,0.171429,0.2,0.0571429,1.71429,0.0285714,0.228571,0.171429,0.628571,0.257143,0.2,5.91429
3,0,1440.03,0,216.114,76.4,102.857,302.943,1846.17,58.7429,1709.89,80.5143,413.629,924.686,309.829,7481.8,0.266675,0,0.17452,0.0112755,0.0469165,0.181506,0.661268,0.00502464,0.0269063,0.00387773,0.0228987,0.000280346,0.0106355,1.41178,0.188892,0,0.123616,0.00798669,0.0332321,0.128565,0.468392,0.00355907,0.0190584,0.00274669,0.0162197,0.000198576,0.00753339,94.8857,0,72.6857,2.91429,27.6,99.1429,387.029,2.02857,22.4,2.17143,16.6571,0.171429,2.31429,730,0.12998,0,0.0995695,0.00399217,0.0378082,0.135812,0.530176,0.00277886,0.0306849,0.00297456,0.022818,0.000234834,0.00317025,5.92359,0,0.831985,0.359259,0.526215,0.346481,13.0828,0.096521,4.55039,0.136467,8.86336,1.93492,0.680414,37.3324,0.158671,0,0.0222859,0.00962324,0.0140954,0.00928098,0.350441,0.00258545,0.121888,0.00365547,0.237417,0.0518295,0.0182258,165.629,0,37.8286,10.3429,17.4286,6.45714,217.257,2.6,40.8286,3.65714,95.2857,21.2286,21.7714,640.314,0.258668,0,0.0590781,0.0161528,0.0272188,0.0100843,0.339298,0.00406051,0.0637633,0.00571148,0.148811,0.0331534,0.0340012,555.4,0,48.6857,43.5714,46.1429,3.77143,50.5714,36.3429,138.743,34.5714,135.486,80.3429,7.65714,1181.29,0.0113845,0,0.0068424,0.00144141,0.00195644,0.00702448,0.0237313,0.000274097,0.00145113,2.27513e-005,0.00158508,0.000169848,0.000490626,0.0563741,4.22857,0,3.4,0.314286,1.25714,3.88571,14.7143,0.171429,1.57143,0.0857143,1.42857,0.0285714,0.114286,31.2,0.0384892,0,0.0108523,0.00490688,0.0162491,0.00952661,0.120816,0.000636026,0.0486789,0,0.0624144,0.0207519,0.00835211,0.341674,1.17143,0,0.571429,0.171429,0.4,0.171429,1.62857,0.0285714,0.342857,0,0.6,0.228571,0.314286,5.62857
4,0,1588,0,213.029,65.2,92.7714,317.686,2316.31,49.1143,2106.69,70.2571,445.343,1103.57,329.229,8697.2,0.254274,0,0.174764,0.0096439,0.0449087,0.181809,0.65444,0.00530506,0.026734,0.00321215,0.0218998,0.000314642,0.00934622,1.38665,0.183372,0,0.126033,0.00695481,0.0323864,0.131114,0.471957,0.0038258,0.0192795,0.00231648,0.0157933,0.000226907,0.00674013,89.1143,0,67.9429,2.57143,25.7429,95.0286,371.629,2,20.9714,1.82857,15.2571,0.171429,2.08571,694.343,0.128343,0,0.097852,0.0037034,0.0370751,0.136861,0.535223,0.00288042,0.0302033,0.00263353,0.0219735,0.000246893,0.00300387,6.00272,0,0.846941,0.353049,0.51311,0.338679,13.0997,0.0995191,4.6017,0.134596,8.91038,1.94521,0.672993,37.5186,0.159993,0,0.0225739,0.00940997,0.0136761,0.00902696,0.349153,0.00265252,0.122651,0.00358743,0.237492,0.0518464,0.0179376,164.286,0,38.8,10.1714,16.7429,6.34286,215.171,2.6,40.3143,3.57143,94.1143,20.9714,21.5143,634.6,0.258881,0,0.0611409,0.0160281,0.0263833,0.00999505,0.339066,0.00409707,0.0635271,0.00562784,0.148305,0.0330467,0.0339021,633.029,0,43.8857,30.8286,36.4857,4.31429,70.1429,21.9714,184.514,21.4286,143.514,101.686,9.37143,1301.17,0.0112013,0,0.00549088,0.000832397,0.00267037,0.00697074,0.0194451,7.74519e-006,0.00167742,0.000443591,0.00102151,0,0.000543231,0.0503043,4.4,0,3.02857,0.2,1.71429,4.08571,13.2,0.0285714,1.34286,0.285714,1.22857,0,0.114286,29.6286,0.037704,0,0.0102181,0.00532006,0.00836968,0.000835866,0.0978855,0,0.0418751,0.00274275,0.0807922,0.0124792,0.00215481,0.300377,1.17143,0,0.485714,0.114286,0.285714,0.0285714,1.74286,0,0.314286,0.0857143,0.771429,0.114286,0.114286,5.22857
5,0,1698.54,0,209.2,61.6571,86.3143,333.086,2776.86,43.0857,2470.97,63.8571,476.714,1261.86,345.571,9827.71,0.242135,0,0.170618,0.00907344,0.0436092,0.180082,0.640595,0.00546966,0.0261792,0.00271002,0.0207934,0.000271012,0.00815188,1.34969,0.179401,0,0.126413,0.00672262,0.0323106,0.133425,0.474625,0.00405254,0.0193965,0.00200789,0.0154061,0.000200796,0.00603983,83.7429,0,62.7429,2.37143,24.5143,91.0571,355.143,1.91429,19.5143,1.62857,14.0286,0.142857,1.85714,658.657,0.127142,0,0.0952588,0.0036004,0.0372186,0.138247,0.539192,0.00290635,0.0296274,0.00247256,0.0212987,0.000216892,0.00281959,6.04901,0,0.84642,0.35236,0.515643,0.334548,13.2101,0.101784,4.67404,0.131124,8.96841,1.94792,0.672034,37.8034,0.160012,0,0.02239,0.00932084,0.0136401,0.00884968,0.349442,0.00269245,0.123641,0.00346858,0.237238,0.0515277,0.0177771,162.4,0,39.4571,10.0857,16.4857,6.34286,214.429,2.57143,39.8857,3.37143,93.1714,20.6,21.2571,630.057,0.257754,0,0.0626247,0.0160076,0.0261654,0.0100671,0.340332,0.00408126,0.0633049,0.00535099,0.147878,0.0326954,0.0337384,679.286,0,43.0286,24.4,32.9143,4.65714,87.0286,18.1143,225.229,16.8,146.743,124.343,9.57143,1412.11,0.0108715,0,0.00684374,0.00064694,0.00175012,0.00786947,0.0254228,5.94886e-005,0.00139208,0.000667218,0.00137417,7.08782e-005,0.000872762,0.0578412,4.05714,0,3.14286,0.171429,1.05714,3.88571,14.2286,0.0857143,1.31429,0.2,1.08571,0.0285714,0.171429,29.4286,0.0580299,0,0.0178872,0.00192028,0.00707875,0.00245587,0.0749947,0,0.0070741,0.00181368,0.0802969,0.0117686,0.00310868,0.266429,1.65714,0,0.714286,0.0571429,0.285714,0.0571429,1.42857,0,0.171429,0.0571429,0.771429,0.114286,0.0857143,5.4
6,0,1776.31,0,205.543,56.4571,85.8857,347.971,3202.26,39.9429,2808.23,59.9143,510.143,1400.2,361.514,10854.4,0.229607,0,0.166845,0.0089765,0.043042,0.179391,0.629345,0.00526602,0.0262745,0.00274467,0.0197069,0.000308793,0.0073386,1.31885,0.174097,0,0.126508,0.00680633,0.0326361,0.136021,0.477194,0.0039929,0.0199224,0.00208112,0.0149425,0.000234139,0.00556441,78.3429,0,58.3714,2.28571,23.3429,87.7714,339.943,1.8,18.2,1.51429,12.9429,0.142857,1.68571,626.343,0.12508,0,0.0931941,0.0036493,0.0372685,0.140133,0.542742,0.00287383,0.0290576,0.00241766,0.0206642,0.000228081,0.00269136,6.1216,0,0.852305,0.338052,0.508628,0.326835,13.252,0.104865,4.72764,0.128295,9.03196,1.95825,0.668793,38.0193,0.161013,0,0.0224177,0.00889159,0.0133782,0.00859658,0.348561,0.0027582,0.124349,0.00337446,0.237563,0.0515069,0.0175909,160.886,0,40.1714,9.6,15.9429,6.22857,212.914,2.57143,39.3143,3.22857,91.8857,20.2571,20.9143,623.914,0.257865,0,0.0643861,0.0153867,0.025553,0.00998306,0.341256,0.00412145,0.0630123,0.0051747,0.147273,0.0324678,0.0335211,713.914,0,41.4857,23.5429,26.3429,5.65714,103.943,15.5143,265.829,14.1714,149.286,141,10.2857,1510.97,0.0120592,0,0.005225,0.000409361,0.00138162,0.00600227,0.0230603,0.000290204,0.00180948,0.000104849,0.00131321,0,0.000942113,0.0525976,4.28571,0,2.25714,0.0857143,1.05714,3.17143,13.1143,0.0857143,1.28571,0.114286,0.942857,0,0.171429,26.5714,0.0518184,0,0.0140104,0.00900737,0.0106482,0.00311884,0.119898,0,0.044224,0.00254262,0.0626379,0.018616,0.00437499,0.340896,1.62857,0,0.742857,0.228571,0.285714,0.0571429,1.65714,0,0.457143,0.0857143,0.742857,0.228571,0.171429,6.28571
7,0,1835.54,0,203.543,54.0857,84.8,360.8,3609.37,38.2286,3118.89,57.7143,528.829,1532.97,375.6,11800.4,0.222123,0,0.162191,0.00810225,0.0420442,0.179763,0.620009,0.00524274,0.026055,0.00259039,0.0190444,0.000321639,0.00701186,1.2945,0.17159,0,0.125293,0.00625899,0.0324792,0.138867,0.478957,0.00405001,0.0201275,0.00200108,0.0147118,0.000248466,0.00541667,74.4,0,54.0857,2.05714,22.3143,84.3714,325.629,1.71429,17,1.34286,12,0.114286,1.62857,596.657,0.124695,0,0.0906479,0.00344778,0.0373988,0.141407,0.545755,0.00287315,0.0284921,0.00225063,0.0201121,0.000191543,0.00272949,6.14341,0,0.867684,0.329934,0.503433,0.316349,13.2799,0.106893,4.79812,0.122507,8.9976,1.98267,0.665277,38.1138,0.161186,0,0.0227656,0.00865656,0.0132087,0.00830012,0.348428,0.00280458,0.125889,0.00321424,0.236072,0.0520199,0.017455,158.8,0,41.4,9.31429,15.5714,6.11429,211.171,2.54286,38.8571,2.97143,90.1143,20.0286,20.5143,617.4,0.257208,0,0.0670554,0.0150863,0.025221,0.00990328,0.342033,0.00411865,0.0629367,0.00481281,0.145958,0.0324402,0.0332269,736.714,0,41.7429,21.2286,25.0286,5.71429,117.943,14.7714,296.886,12.0286,161.543,153.486,10.9429,1598.03,0.00840689,0,0.00547589,0.000961085,0.00223823,0.0064403,0.0196434,0.000242471,0.0015339,0.000269799,0.000759402,1.03106e-005,0.000218786,0.0462005,3.05714,0,2.2,0.2,0.971429,3.37143,12.1143,0.0857143,1.11429,0.171429,0.8,0.0285714,0.0285714,24.1429,0.0736484,0,0.00770394,0.00685822,0.00634927,0.0102558,0.117608,0,0.0266616,0.00130842,0.0829872,0.00455879,0.00312116,0.341061,1.48571,0,0.428571,0.2,0.228571,0.114286,2,0,0.285714,0.0571429,0.771429,0.114286,0.142857,5.82857
8,0,1907.86,0,204.886,53.5714,82.6857,374.114,3997.4,38.6,3398.34,56.7429,547.114,1650.37,388.143,12699.8,0.211233,0,0.159068,0.00754474,0.0412666,0.176233,0.610163,0.00483582,0.0259798,0.0021735,0.0190629,0.000345256,0.00561237,1.26352,0.167178,0,0.125893,0.00597121,0.0326601,0.139478,0.482908,0.00382726,0.0205615,0.0017202,0.0150871,0.000273249,0.00444186,69.7143,0,50.1143,1.82857,21.2286,80.8286,312.343,1.57143,15.7143,1.17143,11.3714,0.114286,1.37143,567.371,0.122872,0,0.0883271,0.00322288,0.0374156,0.142461,0.550509,0.00276966,0.0276966,0.00206466,0.0200423,0.00020143,0.00241716,6.20282,0,0.87338,0.325156,0.494392,0.315068,13.352,0.108563,4.83487,0.119299,9.05106,1.99777,0.658641,38.333,0.161814,0,0.022784,0.0084824,0.0128973,0.00821924,0.348316,0.00283211,0.126128,0.00311218,0.236116,0.0521162,0.0171821,156.943,0,42.0286,9.02857,15.2,6.17143,209.571,2.54286,38.1143,2.8,88.9714,19.7143,20.2857,611.371,0.256706,0,0.0687447,0.0147677,0.0248621,0.0100944,0.342789,0.00415927,0.0623423,0.00457987,0.145528,0.032246,0.0331807,747.343,0,37.5429,19.1714,25.6286,5.37143,135.457,13.1143,329,10.9429,162.2,169.829,11.2286,1666.83,0.0109103,0,0.00711017,0.000794104,0.00160416,0.00681405,0.0196872,0.000235433,0.00158942,0.000359503,0.000785593,0,0.000783296,0.0506732,3.68571,0,2.31429,0.228571,0.971429,3.31429,11.1143,0.0857143,1.25714,0.142857,0.6,0,0.171429,23.8857,0.0523391,0,0.00923975,0.00222307,0.00835839,0.00139866,0.079584,0.00150156,0.055562,0.000421513,0.0640807,0.0138715,0.00714491,0.295725,1.37143,0,0.485714,0.0857143,0.171429,0.0571429,1.77143,0.0285714,0.457143,0.0285714,0.514286,0.171429,0.171429,5.31429
9,0,1967.83,0,203.029,52.3714,82.6,385.6,4364.37,38.6571,3655.6,54.7143,568.286,1753.57,400.4,13527,0.199545,0,0.154662,0.00703539,0.0394549,0.173946,0.598856,0.00453181,0.0262596,0.00219365,0.0175928,0.000260305,0.00534465,1.22968,0.162273,0,0.125774,0.00572131,0.0320854,0.141456,0.487001,0.00368535,0.0213548,0.00178392,0.0143068,0.000211685,0.00434637,65.3714,0,46.3429,1.68571,20.0286,76.9429,299.229,1.48571,14.7714,1.11429,10.6286,0.0571429,1.28571,538.943,0.121296,0,0.0859884,0.00312782,0.0371627,0.142766,0.555214,0.00275672,0.0274082,0.00206754,0.0197211,0.000106028,0.00238562,6.27563,0,0.887265,0.317005,0.493342,0.312451,13.4213,0.107232,4.85582,0.115388,9.14,2.00188,0.65958,38.5869,0.162636,0,0.022994,0.00821537,0.0127852,0.00809735,0.34782,0.00277899,0.125841,0.00299035,0.236868,0.0518797,0.0170934,155.371,0,43.1714,8.8,14.9714,6.25714,208.486,2.51429,37.5429,2.62857,88.0571,19.3714,20.0286,607.2,0.255882,0,0.0710992,0.0144928,0.0246565,0.0103049,0.343356,0.00414079,0.0618295,0.004329,0.145022,0.0319029,0.0329851,756.114,0,39.3143,17.8857,23.5714,5.51429,146.486,13.6,360.6,10.2571,160.6,182.457,10.8857,1727.29,0.00938013,0,0.00480957,0.000722487,0.00208891,0.00649152,0.0187423,0.000255249,0.00101124,0.000104709,0.000780843,0.00010895,0.000357571,0.0448535,3.17143,0,1.77143,0.142857,1.02857,3.71429,10.7714,0.0571429,0.857143,0.0571429,0.514286,0.0571429,0.0857143,22.2286,0.0313031,0,0.010678,0.00475854,0.0071712,0.00487272,0.10426,0.00482145,0.024002,0.00210314,0.0638316,0.0162571,0.00263017,0.276689,1.14286,0,0.514286,0.0857143,0.2,0.0571429,1.77143,0.0571429,0.257143,0.0857143,0.685714,0.171429,0.114286,5.14286
